,Teaching Activities
33,RHB791 - Rehab Sc Clinical Project (Summer Term 2017)  2017
34,RHB799 - Dissertation Research (Summer Term 2017)  2017
35,RHB400 - Intro to Rehab Science (Spring Term 2017)  2017
36,RHB740 - Teaching Practicum (Spring Term 2017)  2017
37,RHB775 - Spec Topics in Rehab Sciences (Spring Term 2017)  2017
38,RHB781 - PrincRehabSci:ExerciseScience (Spring Term 2017)  2017
39,RHB790 - Rehab Sci Research Project (Spring Term 2017)  2017
40,RHB798 - Non Dissertation Research (Spring Term 2017)  2017
41,RHB799 - Dissertation Research (Spring Term 2017)  2017
42,PT799 - Scholarly Activity Project (Fall Term 2016)  2016
43,RHB575 - Spec Topics in Rehab Sciences (Fall Term 2016)  2016
44,RHB740 - Teaching Practicum (Fall Term 2016)  2016
45,RHB746 - Rehab Science Journal Club (Fall Term 2016)  2016
46,RHB780 - PrincRehabSci MovementScience (Fall Term 2016)  2016
47,RHB783 - Research Design in Rehab Sci (Fall Term 2016)  2016
48,RHB790 - Rehab Sci Research Project (Fall Term 2016)  2016
49,RHB798 - Non Dissertation Research (Fall Term 2016)  2016
50,RHB799 - Dissertation Research (Fall Term 2016)  2016
51,PT798 - Scholarly Activity Project (Summer Term 2016)  2016
52,RHB791 - Rehab Sc Clinical Project (Summer Term 2016)  2016
53,RHB798 - Non Dissertation Research (Summer Term 2016)  2016
54,RHB799 - Dissertation Research (Summer Term 2016)  2016
55,BME490 - Special Topic in BME (Spring Term 2016)  2016
56,BME590 - Special Topic in BME (Spring Term 2016)  2016
57,OT698 - MR Lev Non-Thesis Research (Spring Term 2016)  2016
58,PT798 - Scholarly Activity Project (Spring Term 2016)  2016
59,RHB475 - Special Topics in Rehab Scienc (Spring Term 2016)  2016
60,RHB575 - Spec Topics in Rehab Sciences (Spring Term 2016)  2016
61,RHB780 - PrincRehabSci MovementScience (Spring Term 2016)  2016
62,RHB781 - PrincRehabSci:ExerciseScience (Spring Term 2016)  2016
63,RHB790 - Rehab Sci Research Project (Spring Term 2016)  2016
64,RHB798 - Non Dissertation Research (Spring Term 2016)  2016
65,RHB799 - Dissertation Research (Spring Term 2016)  2016
66,OT698 - MR Lev Non-Thesis Research (Fall Term 2015)  2015
67,PT799 - Scholarly Activity Project (Fall Term 2015)  2015
68,RHB780 - PrincRehabSci MovementScience (Fall Term 2015)  2015
69,RHB783 - Research Design in Rehab Sci (Fall Term 2015)  2015
70,RHB790 - Rehab Sci Research Project (Fall Term 2015)  2015
71,RHB798 - Non Dissertation Research (Fall Term 2015)  2015
72,RHB799 - Dissertation Research (Fall Term 2015)  2015
73,OT698 - MR Lev Non-Thesis Research (Summer Term 2015)  2015
74,PT798 - Scholarly Activity Project (Summer Term 2015)  2015
75,RHB791 - Rehab Sc Clinical Project (Summer Term 2015)  2015
76,RHB798 - Non Dissertation Research (Summer Term 2015)  2015
77,RHB799 - Dissertation Research (Summer Term 2015)  2015
78,OT698 - MR Lev Non-Thesis Research (Spring Term 2015)  2015
79,PT707 - Neuroscience II (Spring Term 2015)  2015
80,PT798 - Scholarly Activity Project (Spring Term 2015)  2015
81,RHB781 - Topic in Rehab Sci Research (Spring Term 2015)  2015
82,RHB790 - Rehab Sci Research Project (Spring Term 2015)  2015
83,RHB798 - Non Dissertation Research (Spring Term 2015)  2015
84,RHB799 - Dissertation Research (Spring Term 2015)  2015
85,OT698 - MR Lev Non-Thesis Research (Fall Term 2014)  2014
86,PT746 - PT Mgt Neuromuscular Dysf II (Fall Term 2014)  2014
87,PT799 - Scholarly Activity Project (Fall Term 2014)  2014
88,PTDS740 - Practicum (Fall Term 2014)  2014
89,RHB780 - Perspectives in Rehab Science (Fall Term 2014)  2014
90,RHB783 - Research Design in Rehab Sci (Fall Term 2014)  2014
91,RHB790 - Rehab Sci Research Project (Fall Term 2014)  2014
92,RHB798 - Non Dissertation Research (Fall Term 2014)  2014
93,RHB799 - Dissertation Research (Fall Term 2014)  2014
94,OT698 - MR Lev Non-Thesis Research (Summer Term 2014)  2014
95,PT798 - Scholarly Activity Project (Summer Term 2014)  2014
96,RHB791 - Rehab Sc Clinical Project (Summer Term 2014)  2014
97,RHB798 - Non Dissertation Research (Summer Term 2014)  2014
98,RHB798 - Non Dissertation Research (Summer Term 2014)  2014
99,OT698 - MR Lev Non-Thesis Research (Spring Term 2014)  2014
100,PT798 - Scholarly Activity Project (Spring Term 2014)  2014
101,RHB781 - Topic in Rehab Sci Research (Spring Term 2014)  2014
102,RHB790 - Rehab Sci Research Project (Spring Term 2014)  2014
103,RHB798 - Non Dissertation Research (Spring Term 2014)  2014
104,OT698 - MR Lev Non-Thesis Research (Fall Term 2013)  2013
105,PT799 - Scholarly Activity Project (Fall Term 2013)  2013
106,PTDS799 - Dissertation Research (Fall Term 2013)  2013
107,RHB780 - Perspectives in Rehab Science (Fall Term 2013)  2013
108,RHB783 - Research Design in Rehab Sci (Fall Term 2013)  2013
109,RHB790 - Rehab Sci Research Project (Fall Term 2013)  2013
110,RHB798 - Non Dissertation Research (Fall Term 2013)  2013
111,OT698 - MR Lev Non-Thesis Research (Summer Term 2013)  2013
112,PT798 - Scholarly Activity Project (Summer Term 2013)  2013
113,RHB791 - Rehab Sc Clinical Project (Summer Term 2013)  2013
114,PT707 - Neuroscience II (Spring Term 2013)  2013
115,PT798 - Scholarly Activity Project (Spring Term 2013)  2013
116,RHB781 - Topic in Rehab Sci Research (Spring Term 2013)  2013
117,RHB790 - Rehab Sci Research Project (Spring Term 2013)  2013
118,RHB791 - Rehab Sc Clinical Project (Spring Term 2013)  2013
119,RHB798 - Non Dissertation Research (Spring Term 2013)  2013
120,RHB780 - Perspectives in Rehab Science (Fall Term 2012)  2012
121,RHB790 - Rehab Sci Research Project (Fall Term 2012)  2012
122,RHB798 - Non Dissertation Research (Fall Term 2012)  2012
123,PTDS740 - Practicum (Summer Term 2012)  2012
124,PTDS740 - Practicum (Summer Term 2012)  2012
125,RHB782 - Tpcs Rehab Sci Res: Work/Play (Summer Term 2012)  2012
126,RHB781 - Topic in Rehab Sci Research (Spring Term 2012)  2012
