,Teaching Activities
40,STH395 - Honors Proposal Preparation (Spring Term 2020)  2020
41,STH395 - Honors Proposal Preparation (Spring Term 2020)  2020
42,STH398 - Honors Research (Spring Term 2020)  2020
43,STH399 - Honors Thesis Research (Spring Term 2020)  2020
44,STH400 - Honors Thesis Preparation (Spring Term 2020)  2020
45,STH400 - Honors Thesis Preparation (Spring Term 2020)  2020
46,STH400 - Honors Thesis Preparation (Spring Term 2020)  2020
47,STH400 - Honors Thesis Preparation (Spring Term 2020)  2020
48,STH400 - Honors Thesis Preparation (Spring Term 2020)  2020
49,STH400 - Honors Thesis Preparation (Spring Term 2020)  2020
50,STH199 - Intro to Scientific Process (Fall Term 2019)  2019
51,STH250 - Prime Time Leadership (Fall Term 2019)  2019
52,STH390 - Preparation for STEM Teaching (Fall Term 2019)  2019
53,STH395 - Honors Proposal Preparation (Fall Term 2019)  2019
54,STH395 - Honors Proposal Preparation (Fall Term 2019)  2019
55,STH395 - Honors Proposal Preparation (Fall Term 2019)  2019
56,STH395 - Honors Proposal Preparation (Fall Term 2019)  2019
57,STH398 - Honors Research (Fall Term 2019)  2019
58,STH399 - Honors Thesis Research (Fall Term 2019)  2019
59,STH400 - Honors Thesis Preparation (Fall Term 2019)  2019
60,STH400 - Honors Thesis Preparation (Fall Term 2019)  2019
61,STH400 - Honors Thesis Preparation (Fall Term 2019)  2019
62,STH400 - Honors Thesis Preparation (Fall Term 2019)  2019
63,STH395 - Honors Proposal Preparation (Summer Term 2019)  2019
64,STH395 - Honors Proposal Preparation (Summer Term 2019)  2019
65,STH398 - Honors Research (Summer Term 2019)  2019
66,STH399 - Honors Thesis Research (Summer Term 2019)  2019
67,STH400 - Honors Thesis Preparation (Summer Term 2019)  2019
68,STH398 - Honors Research (Spring Term 2019)  2019
69,STH151 - Problem Analysis/Proj Planning (Spring Term 2019)  2019
70,STH250 - Prime Time Leadership (Spring Term 2019)  2019
71,STH390 - Preparation for STEM Teaching (Spring Term 2019)  2019
72,STH395 - Honors Proposal Preparation (Spring Term 2019)  2019
73,STH395 - Honors Proposal Preparation (Spring Term 2019)  2019
74,STH395 - Honors Proposal Preparation (Spring Term 2019)  2019
75,STH395 - Honors Proposal Preparation (Spring Term 2019)  2019
76,STH395 - Honors Proposal Preparation (Spring Term 2019)  2019
77,STH396 - Internships/Comm Projects/SL (Spring Term 2019)  2019
78,STH398 - Honors Research (Spring Term 2019)  2019
79,STH399 - Honors Thesis Research (Spring Term 2019)  2019
80,STH400 - Honors Thesis Preparation (Spring Term 2019)  2019
81,STH400 - Honors Thesis Preparation (Spring Term 2019)  2019
82,STH400 - Honors Thesis Preparation (Spring Term 2019)  2019
83,STH400 - Honors Thesis Preparation (Spring Term 2019)  2019
84,STH400 - Honors Thesis Preparation (Spring Term 2019)  2019
85,STH400 - Honors Thesis Preparation (Spring Term 2019)  2019
86,STH398 - Honors Research (Fall Term 2018)  2018
87,STH199 - Intro to Scientific Process (Fall Term 2018)  2018
88,STH250 - Prime Time Leadership (Fall Term 2018)  2018
89,STH395 - Honors Proposal Preparation (Fall Term 2018)  2018
90,STH395 - Honors Proposal Preparation (Fall Term 2018)  2018
91,STH395 - Honors Proposal Preparation (Fall Term 2018)  2018
92,STH395 - Honors Proposal Preparation (Fall Term 2018)  2018
93,STH395 - Honors Proposal Preparation (Fall Term 2018)  2018
94,STH396 - Internships/Comm Projects/SL (Fall Term 2018)  2018
95,STH398 - Honors Research (Fall Term 2018)  2018
96,STH399 - Honors Thesis Research (Fall Term 2018)  2018
97,STH400 - Honors Thesis Preparation (Fall Term 2018)  2018
98,STH400 - Honors Thesis Preparation (Fall Term 2018)  2018
99,STH395 - Honors Proposal Preparation (Summer Term 2018)  2018
100,STH398 - Honors Research (Summer Term 2018)  2018
101,STH400 - Honors Thesis Preparation (Summer Term 2018)  2018
102,HC395 - Honors Study Abroad (Spring Term 2018)  2018
103,STH151 - Problem Analysis/Proj Planning (Spring Term 2018)  2018
104,STH250 - PrimeTime Leadership (Spring Term 2018)  2018
105,STH299 - Interdisciplinary Seminar (Spring Term 2018)  2018
106,STH395 - Honors Proposal Preparation (Spring Term 2018)  2018
107,STH395 - Honors Proposal Preparation (Spring Term 2018)  2018
108,STH395 - Honors Proposal Preparation (Spring Term 2018)  2018
109,STH395 - Honors Proposal Preparation (Spring Term 2018)  2018
110,STH396 - Internships/Comm Projects/SL (Spring Term 2018)  2018
111,STH396 - Internships/Comm Projects/SL (Spring Term 2018)  2018
112,STH397 - Independent Study (Spring Term 2018)  2018
113,STH398 - Honors Research (Spring Term 2018)  2018
114,STH399 - Honors Thesis Research (Spring Term 2018)  2018
115,STH400 - Honors Thesis Preparation (Spring Term 2018)  2018
116,STH400 - Honors Thesis Preparation (Spring Term 2018)  2018
117,STH400 - Honors Thesis Preparation (Spring Term 2018)  2018
118,STH400 - Honors Thesis Preparation (Spring Term 2018)  2018
119,STH400 - Honors Thesis Preparation (Spring Term 2018)  2018
120,STH400 - Honors Thesis Preparation (Spring Term 2018)  2018
121,STH199 - Intro to Scientific Process (Fall Term 2017)  2017
122,STH250 - PrimeTime Leadership (Fall Term 2017)  2017
123,STH310 - Communicating Science (Fall Term 2017)  2017
124,STH395 - Honors Proposal Preparation (Fall Term 2017)  2017
125,STH395 - Honors Proposal Preparation (Fall Term 2017)  2017
126,STH395 - Honors Proposal Preparation (Fall Term 2017)  2017
127,STH395 - Honors Proposal Preparation (Fall Term 2017)  2017
128,STH398 - Honors Research (Fall Term 2017)  2017
129,STH399 - Honors Thesis Research (Fall Term 2017)  2017
130,STH400 - Honors Thesis Preparation (Fall Term 2017)  2017
131,STH400 - Honors Thesis Preparation (Fall Term 2017)  2017
132,STH400 - Honors Thesis Preparation (Fall Term 2017)  2017
133,STH395 - Honors Proposal Preparation (Summer Term 2017)  2017
134,STH398 - Honors Research (Summer Term 2017)  2017
135,STH399 - Honors Thesis Research (Summer Term 2017)  2017
136,STH400 - Honors Thesis Preparation (Summer Term 2017)  2017
137,STH151 - Problem Analysis/Proj Planning (Spring Term 2017)  2017
138,STH201 - Research Approaches (Spring Term 2017)  2017
139,STH250 - PrimeTime Leadership (Spring Term 2017)  2017
140,STH310 - Communicating Science (Spring Term 2017)  2017
141,STH395 - Honors Proposal Preparation (Spring Term 2017)  2017
142,STH395 - Honors Proposal Preparation (Spring Term 2017)  2017
143,STH395 - Honors Proposal Preparation (Spring Term 2017)  2017
144,STH395 - Honors Proposal Preparation (Spring Term 2017)  2017
145,STH395 - Honors Proposal Preparation (Spring Term 2017)  2017
146,STH398 - Honors Research (Spring Term 2017)  2017
147,STH399 - Honors Thesis Research (Spring Term 2017)  2017
148,STH400 - Honors Thesis Preparation (Spring Term 2017)  2017
149,STH400 - Honors Thesis Preparation (Spring Term 2017)  2017
150,STH400 - Honors Thesis Preparation (Spring Term 2017)  2017
151,STH400 - Honors Thesis Preparation (Spring Term 2017)  2017
152,STH400 - Honors Thesis Preparation (Spring Term 2017)  2017
153,STH400 - Honors Thesis Preparation (Spring Term 2017)  2017
154,STH199 - Intro to Scientific Process (Fall Term 2016)  2016
155,STH250 - PrimeTime Leadership (Fall Term 2016)  2016
156,STH395 - Honors Proposal Preparation (Fall Term 2016)  2016
157,STH395 - Honors Proposal Preparation (Fall Term 2016)  2016
158,STH395 - Honors Proposal Preparation (Fall Term 2016)  2016
159,STH395 - Honors Proposal Preparation (Fall Term 2016)  2016
160,STH398 - Honors Research (Fall Term 2016)  2016
161,STH399 - Honors Thesis Research (Fall Term 2016)  2016
162,STH400 - Honors Thesis Preparation (Fall Term 2016)  2016
163,STH400 - Honors Thesis Preparation (Fall Term 2016)  2016
164,STH400 - Honors Thesis Preparation (Fall Term 2016)  2016
165,STH395 - Honors Proposal Preparation (Summer Term 2016)  2016
166,STH398 - Honors Research (Summer Term 2016)  2016
167,STH151 - Problem Analysis/Proj Planning (Spring Term 2016)  2016
168,STH250 - PrimeTime Leadership (Spring Term 2016)  2016
169,STH395 - Honors Proposal Preparation (Spring Term 2016)  2016
170,STH395 - Honors Proposal Preparation (Spring Term 2016)  2016
171,STH395 - Honors Proposal Preparation (Spring Term 2016)  2016
172,STH395 - Honors Proposal Preparation (Spring Term 2016)  2016
173,STH395 - Honors Proposal Preparation (Spring Term 2016)  2016
174,STH397 - Independent Study (Spring Term 2016)  2016
175,STH398 - Honors Research (Spring Term 2016)  2016
176,STH399 - Honors Thesis Research (Spring Term 2016)  2016
177,STH400 - Honors Thesis Preparation (Spring Term 2016)  2016
178,STH400 - Honors Thesis Preparation (Spring Term 2016)  2016
179,STH400 - Honors Thesis Preparation (Spring Term 2016)  2016
180,STH199 - Intro to Scientific Process (Fall Term 2015)  2015
181,STH250 - PrimeTime Leadership (Fall Term 2015)  2015
182,STH395 - Honors Proposal Preparation (Fall Term 2015)  2015
183,STH395 - Honors Proposal Preparation (Fall Term 2015)  2015
184,STH395 - Honors Proposal Preparation (Fall Term 2015)  2015
185,STH395 - Honors Proposal Preparation (Fall Term 2015)  2015
186,STH397 - Independent Study (Fall Term 2015)  2015
187,STH398 - Honors Research (Fall Term 2015)  2015
188,STH399 - Honors Thesis Research (Fall Term 2015)  2015
189,STH400 - Honors Thesis Preparation (Fall Term 2015)  2015
190,STH400 - Honors Thesis Preparation (Fall Term 2015)  2015
191,STH395 - Honors Proposal Preparation (Summer Term 2015)  2015
192,STH396 - Internships/Comm Projects/SL (Summer Term 2015)  2015
193,STH398 - Undergraduate Research (Summer Term 2015)  2015
194,STH400 - Honors Thesis Preparation (Summer Term 2015)  2015
195,STH299 - Interdisciplinary Seminar (Summer Term 2015)  2015
196,STH151 - Problem Analysis/Proj Planning (Spring Term 2015)  2015
197,STH250 - PrimeTime Leadership (Spring Term 2015)  2015
198,STH301 - Statistics and Design Overview (Spring Term 2015)  2015
199,STH395 - Honors Proposal Preparation (Spring Term 2015)  2015
200,STH395 - Honors Proposal Preparation (Spring Term 2015)  2015
201,STH397 - Independent Study (Spring Term 2015)  2015
202,STH398 - Undergraduate Research (Spring Term 2015)  2015
203,STH399 - Honors Thesis Research (Spring Term 2015)  2015
204,STH400 - Honors Thesis Preparation (Spring Term 2015)  2015
205,STH400 - Honors Thesis Preparation (Spring Term 2015)  2015
206,STH150 - Skills for Leadership & Innov (Fall Term 2014)  2014
207,STH199 - Intro to Scientific Process (Fall Term 2014)  2014
208,STH250 - PrimeTime Leadership (Fall Term 2014)  2014
209,STH395 - Honors Proposal Preparation (Fall Term 2014)  2014
210,STH395 - Honors Proposal Preparation (Fall Term 2014)  2014
211,STH395 - Honors Proposal Preparation (Fall Term 2014)  2014
212,STH398 - Undergraduate Research (Fall Term 2014)  2014
213,STH399 - Honors Thesis Research (Fall Term 2014)  2014
214,STH400 - Honors Thesis Preparation (Fall Term 2014)  2014
215,STH400 - Honors Thesis Preparation (Fall Term 2014)  2014
216,STH395 - Honors Proposal Preparation (Summer Term 2014)  2014
217,STH398 - Undergraduate Research (Summer Term 2014)  2014
218,STH399 - Honors Thesis Research (Summer Term 2014)  2014
219,STH400 - Honors Thesis Preparation (Summer Term 2014)  2014
220,STH151 - Problem Analysis/Proj Planning (Spring Term 2014)  2014
221,STH250 - PrimeTime Leadership (Spring Term 2014)  2014
222,STH301 - Statistics and Design Overview (Spring Term 2014)  2014
223,STH395 - Honors Proposal Preparation (Spring Term 2014)  2014
224,STH395 - Honors Proposal Preparation (Spring Term 2014)  2014
225,STH395 - Honors Proposal Preparation (Spring Term 2014)  2014
226,STH397 - Independent Study (Spring Term 2014)  2014
227,STH398 - Undergraduate Research (Spring Term 2014)  2014
228,STH398 - Undergraduate Research (Spring Term 2014)  2014
229,STH399 - Honors Thesis Research (Spring Term 2014)  2014
230,STH400 - Honors Thesis Preparation (Spring Term 2014)  2014
231,STH400 - Honors Thesis Preparation (Spring Term 2014)  2014
232,STH400 - Honors Thesis Preparation (Spring Term 2014)  2014
233,STH150 - Skills for Leadership & Innov (Fall Term 2013)  2013
234,STH199 - Introductory Seminar (Fall Term 2013)  2013
235,STH250 - PrimeTime Leadership (Fall Term 2013)  2013
236,STH250 - PrimeTime Leadership (Fall Term 2013)  2013
237,STH395 - Honors Proposal Preparation (Fall Term 2013)  2013
238,STH395 - Honors Proposal Preparation (Fall Term 2013)  2013
239,STH395 - Honors Proposal Preparation (Fall Term 2013)  2013
240,STH398 - Undergraduate Research (Fall Term 2013)  2013
241,STH398 - Undergraduate Research (Fall Term 2013)  2013
242,STH399 - Honors Thesis Research (Fall Term 2013)  2013
243,STH400 - Honors Thesis Preparation (Fall Term 2013)  2013
244,STH395 - STH Proposal Preparation (Summer Term 2013)  2013
245,STH398 - STH Research (Summer Term 2013)  2013
246,STH398 - STH Research (Summer Term 2013)  2013
247,STH399 - STH Thesis Research (Summer Term 2013)  2013
248,GHS642 - Introprofessional Project Plan (Spring Term 2013)  2013
249,HAC201 - Leadership Skills (Spring Term 2013)  2013
250,HAC201 - Leadership Skills (Spring Term 2013)  2013
251,HAC301 - Prime Time Leadership (Spring Term 2013)  2013
252,HAC401 - Advanced Leadership Studies (Spring Term 2013)  2013
253,HAC401 - Advanced Leadership Studies (Spring Term 2013)  2013
254,STH301 - Statistics and Design Overview (Spring Term 2013)  2013
255,STH395 - STH Proposal Preparation (Spring Term 2013)  2013
256,STH396 - Internship/Com Projects/SL (Spring Term 2013)  2013
257,STH396 - Internship/Com Projects/SL (Spring Term 2013)  2013
258,STH397 - STH Independent Study (Spring Term 2013)  2013
259,STH397 - STH Independent Study (Spring Term 2013)  2013
260,STH397 - STH Independent Study (Spring Term 2013)  2013
261,STH398 - STH Research (Spring Term 2013)  2013
262,STH398 - STH Research (Spring Term 2013)  2013
263,STH399 - STH Thesis Research (Spring Term 2013)  2013
264,STH400 - STH Thesis Preparation (Spring Term 2013)  2013
265,HAC101 - Honors College Leadership (Fall Term 2012)  2012
266,HAC301 - Prime Time Leadership (Fall Term 2012)  2012
267,STH199 - Introductory Seminar (Fall Term 2012)  2012
268,STH395 - STH Proposal Preparation (Fall Term 2012)  2012
269,STH398 - STH Research (Fall Term 2012)  2012
270,STH399 - STH Thesis Research (Fall Term 2012)  2012
271,STH400 - STH Thesis Preparation (Fall Term 2012)  2012
272,HAC301 - Prime Time Leadership (Summer Term 2012)  2012
273,STH395 - STH Proposal Preparation/Res (Summer Term 2012)  2012
274,STH396 - Internship/Com Projects/SL (Summer Term 2012)  2012
275,STH398 - STH Research (Summer Term 2012)  2012
276,STH398 - STH Research (Summer Term 2012)  2012
277,STH399 - STH Thesis Research (Summer Term 2012)  2012
278,HAC201 - Leadership Skills (Spring Term 2012)  2012
279,HAC301 - Prime Time Leadership (Spring Term 2012)  2012
280,STH395 - STH Proposal Preparation/Res (Spring Term 2012)  2012
281,STH395 - STH Proposal Preparation/Res (Spring Term 2012)  2012
282,STH395 - STH Proposal Preparation/Res (Spring Term 2012)  2012
283,STH396 - Internship/Com Projects/SL (Spring Term 2012)  2012
284,STH398 - STH Research (Spring Term 2012)  2012
285,STH399 - STH Thesis Research (Spring Term 2012)  2012
286,STH400 - STH Thesis Preparation/Res (Spring Term 2012)  2012
287,STH400 - STH Thesis Preparation/Res (Spring Term 2012)  2012
288,STH400 - STH Thesis Preparation/Res (Spring Term 2012)  2012
289,HAC101 - Honors Academy Leadership I (Fall Term 2011)  2011
290,HAC301 - Prime Time Leadership (Fall Term 2011)  2011
291,STH199 - Introductory Seminar (Fall Term 2011)  2011
292,STH395 - STH Proposal Preparation/Res (Fall Term 2011)  2011
293,STH395 - STH Proposal Preparation/Res (Fall Term 2011)  2011
294,STH398 - STH Research (Fall Term 2011)  2011
295,STH399 - STH Thesis Research (Fall Term 2011)  2011
296,STH400 - STH Thesis Preparation/Res (Fall Term 2011)  2011
297,HAC301 - Prime Time Leadership (Summer Term 2011)  2011
298,STH310 - Communicationg Science (Summer Term 2011)  2011
299,STH395 - STH Proposal Preparation/Res (Summer Term 2011)  2011
300,STH397 - STH Independent Study (Summer Term 2011)  2011
301,STH398 - STH Research (Summer Term 2011)  2011
302,STH399 - STH Thesis Research (Summer Term 2011)  2011
303,HAC201 - Leadership Skills (Spring Term 2011)  2011
304,HAC301 - Prime Time Leadership (Spring Term 2011)  2011
305,STH310 - Communicationg Science (Spring Term 2011)  2011
306,STH395 - STH Proposal Preparation/Res (Spring Term 2011)  2011
307,STH395 - STH Proposal Preparation/Res (Spring Term 2011)  2011
308,STH396 - Internship/Com Projects/SL (Spring Term 2011)  2011
309,STH398 - STH Research (Spring Term 2011)  2011
310,STH399 - STH Thesis Research (Spring Term 2011)  2011
311,STH400 - STH Thesis Preparation/Res (Spring Term 2011)  2011
312,STH400 - STH Thesis Preparation/Res (Spring Term 2011)  2011
313,STH400 - STH Thesis Preparation/Res (Spring Term 2011)  2011
314,HAC101 - Honors Academy Leadership I (Fall Term 2010)  2010
315,HAC301 - Prime Time Leadership (Fall Term 2010)  2010
316,STH100 - Sci Tech Honors Participation (Fall Term 2010)  2010
317,STH101 - STH Program Meeting (Fall Term 2010)  2010
318,STH199 - Introductory Seminar (Fall Term 2010)  2010
319,STH395 - STH Proposal Preparation/Res (Fall Term 2010)  2010
320,STH395 - STH Proposal Preparation/Res (Fall Term 2010)  2010
321,STH395 - STH Proposal Preparation/Res (Fall Term 2010)  2010
322,STH395 - STH Proposal Preparation/Res (Fall Term 2010)  2010
323,STH398 - STH Research (Fall Term 2010)  2010
324,STH399 - STH Thesis Research (Fall Term 2010)  2010
325,STH400 - STH Thesis Preparation/Res (Fall Term 2010)  2010
326,HAC301 - Prime Time Leadership (Summer Term 2010)  2010
327,STH395 - STH Proposal Preparation/Res (Summer Term 2010)  2010
328,STH397 - STH Independent Study (Summer Term 2010)  2010
329,STH398 - STH Research (Summer Term 2010)  2010
330,STH399 - STH Thesis Research (Summer Term 2010)  2010
331,STH400 - STH Thesis Preparation/Res (Summer Term 2010)  2010
332,STH398 - STH Research (Summer Term 2010)  2010
333,HAC201 - Leadership Skills (Spring Term 2010)  2010
334,STH100 - Sci Tech Honors Participation (Spring Term 2010)  2010
335,STH101 - STH Program Meeting (Spring Term 2010)  2010
336,STH395 - STH Proposal Preparation (Spring Term 2010)  2010
337,STH395 - STH Proposal Preparation (Spring Term 2010)  2010
338,STH397 - STH Independent Study (Spring Term 2010)  2010
339,STH398 - STH Research (Spring Term 2010)  2010
340,STH399 - STH Thesis Research (Spring Term 2010)  2010
341,STH400 - STH Thesis Preparation (Spring Term 2010)  2010
342,STH400 - STH Thesis Preparation (Spring Term 2010)  2010
343,HAC101 - Honors Academy Leadership I (Fall Term 2009)  2009
344,STH100 - Sci Tech Honors Participation (Fall Term 2009)  2009
345,STH101 - STH Program Meeting (Fall Term 2009)  2009
346,STH299 - Interdisciplinary Seminar (Fall Term 2009)  2009
347,STH395 - STH Proposal Preparation (Fall Term 2009)  2009
348,STH395 - STH Proposal Preparation (Fall Term 2009)  2009
349,STH395 - STH Proposal Preparation (Fall Term 2009)  2009
350,STH398 - STH Research (Fall Term 2009)  2009
351,STH399 - STH Honors Thesis Research (Fall Term 2009)  2009
352,STH400 - ST Honors Thesis (Fall Term 2009)  2009
353,STH400 - ST Honors Thesis (Fall Term 2009)  2009
354,STH395 - STH Proposal Preparation (Summer Term 2009)  2009
355,STH398 - STH Research (Summer Term 2009)  2009
356,STH399 - STH Honors Thesis Research (Summer Term 2009)  2009
357,STH399 - STH Honors Thesis Research (Summer Term 2009)  2009
358,STH201 - Research Approaches I (Spring Term 2009)  2009
359,STH395 - STH Proposal Preparation (Spring Term 2009)  2009
360,STH395 - STH Proposal Preparation (Spring Term 2009)  2009
361,STH395 - STH Proposal Preparation (Spring Term 2009)  2009
362,STH400 - ST Honors Thesis (Spring Term 2009)  2009
363,STH199 - Introductory Seminar (Fall Term 2008)  2008
364,STH299 - Interdisciplinary Seminar (Fall Term 2008)  2008
365,STH395 - STH Proposal Preparation (Fall Term 2008)  2008
366,STH397 - Sci and Tech Hon Indep Study (Fall Term 2008)  2008
367,STH398 - STH Research (Fall Term 2008)  2008
368,STH400 - ST Honors Thesis Preparation (Fall Term 2008)  2008
369,STH395 - S&T Honors Research Seminar (Summer Term 2008)  2008
370,STH397 - Sci and Tech Hon Indep Study (Summer Term 2008)  2008
371,STH398 - STH Research (Summer Term 2008)  2008
372,STH201 - Research Approaches I (Spring Term 2008)  2008
373,STH202 - Research Approaches II (Spring Term 2008)  2008
374,STH395 - S&T Honors Research Seminar (Spring Term 2008)  2008
375,STH397 - Sci and Tech Hon Indep Study (Spring Term 2008)  2008
376,STH398 - STH Research (Spring Term 2008)  2008
377,STH199 - Hon Sem: Sci and Technology (Fall Term 2007)  2007
378,STH397 - Sci and Tech Hon Indep Study (Fall Term 2007)  2007
379,STH398 - Sci & Tech Honors Research (Fall Term 2007)  2007
